order_date,week_number,order_id,category,item_type,seller_name,brand,item_title,bar_code,quantity_sold,margin,price,cost
7/28/2013,31,3288102,Bags & Shoes,Shoes,cocosstore,COCOS,3351,2724269438678,1,20,50,40
7/30/2013,31,3306068,Bags & Shoes,Shoes,cocosstore,COCOS,3353,2724271349252,1,20,50,40
7/5/2013,27,3156053,Bags & Shoes,Handbags,cocosstore,COCOS,8908,2724272504018,1,20,100,80
7/21/2013,30,3246265,Watches & Accessories,Watches,FlagmanPeak,AKAnneKlein,AnneKleinWomens109956CMHNSwarovskiCrystalAccentedGoldToneHornResinWatch,2724275075270,1,20,352,281.6
7/29/2013,31,3295210,Watches & Accessories,Watches,FlagmanPeak,AKAnneKlein,AnneKleinWomens104899BKSBSilverToneBlackDialDressWatch,2724275168361,1,20,202,161.6
7/5/2013,27,3154867,Watches & Accessories,Watches,FlagmanPeak,AKAnneKlein,AnneKleinWomens109069MPTTDiamondAccentedRoundTwoToneXShapedBangleWatch,2724275077137,1,20,401,320.8
7/10/2013,28,3180819,Watches & Accessories,Watches,FlagmanPeak,AKAnneKlein,AnneKleinWomens109168IVBNGoldToneRoundBrownLeatherStrapWatch,2724275161911,1,20,196,156.8
7/28/2013,31,3284633,Watches & Accessories,Watches,FlagmanPeak,AKAnneKlein,AnneKleinWomens109168IVBNGoldToneRoundBrownLeatherStrapWatch,2724275161911,1,20,196,156.8
7/4/2013,27,3149806,Watches & Accessories,Watches,FlagmanPeak,AKAnneKlein,AnneKleinWomens109416BKBKSwarovskiCrystalAccentedGoldToneBlackCeramicWatch,2724275059096,1,20,492,393.6
7/15/2013,29,3209792,Watches & Accessories,Watches,absholding,Casio,CasioMensA178WA1AIlluminatorBraceletDigitalWatch,2724273949979,2,20,190,152
7/3/2013,27,3143624,Watches & Accessories,Watches,FlagmanPeak,Casio,CasioMensDB37H1AVMultilingualDatabankBlackResinStrapWatch,2724275063468,1,20,112,89.6
7/6/2013,27,3162793,Watches & Accessories,Watches,FlagmanPeak,Casio,CasioMensW89HB5AVIlluminatorSportNylonStrapWatch,2724275059904,1,20,114,91.2
